<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.15	00:00:00	1.08530	1.08556	1.08454	1.08530	3933	0	0
2023.05.15	04:00:00	1.08530	1.08643	1.08523	1.08631	5083	0	0
2023.05.15	08:00:00	1.08631	1.08802	1.08601	1.08686	11083	0	0
2023.05.15	12:00:00	1.08686	1.08909	1.08556	1.08791	12323	0	0
2023.05.15	16:00:00	1.08790	1.08820	1.08639	1.08789	13509	0	0
2023.05.15	20:00:00	1.08789	1.08789	1.08728	1.08741	5158	0	0
2023.05.16	00:00:00	1.08736	1.08820	1.08715	1.08818	2394	0	0
2023.05.16	04:00:00	1.08818	1.08846	1.08683	1.08822	4465	0	0
2023.05.16	08:00:00	1.08822	1.08979	1.08630	1.08911	13174	0	0
2023.05.16	12:00:00	1.08911	1.09047	1.08681	1.08817	13388	0	0
2023.05.16	16:00:00	1.08817	1.08892	1.08549	1.08669	18957	0	0
2023.05.16	20:00:00	1.08672	1.08712	1.08582	1.08616	6719	0	0
2023.05.17	00:00:00	1.08617	1.08718	1.08573	1.08705	2904	0	0
2023.05.17	04:00:00	1.08705	1.08736	1.08622	1.08648	4775	0	0
2023.05.17	08:00:00	1.08648	1.08653	1.08272	1.08291	13746	0	0
2023.05.17	12:00:00	1.08288	1.08415	1.08138	1.08239	12499	0	0
2023.05.17	16:00:00	1.08239	1.08454	1.08103	1.08419	17814	0	0
2023.05.17	20:00:00	1.08420	1.08492	1.08364	1.08381	7908	0	0
2023.05.18	00:00:00	1.08377	1.08452	1.08348	1.08422	2920	0	0
2023.05.18	04:00:00	1.08422	1.08480	1.08327	1.08330	5604	0	0
2023.05.18	08:00:00	1.08331	1.08359	1.08092	1.08166	11903	0	0
2023.05.18	12:00:00	1.08167	1.08200	1.07853	1.07901	12396	0	0
2023.05.18	16:00:00	1.07902	1.07951	1.07628	1.07632	17185	0	0
2023.05.18	20:00:00	1.07630	1.07748	1.07625	1.07711	6749	0	0
2023.05.19	00:00:00	1.07686	1.07801	1.07643	1.07739	3409	0	0
2023.05.19	04:00:00	1.07738	1.07759	1.07599	1.07637	5967	0	0
2023.05.19	08:00:00	1.07637	1.07946	1.07616	1.07882	12400	0	0
2023.05.19	12:00:00	1.07882	1.08236	1.07877	1.08060	15098	0	0
2023.05.19	16:00:00	1.08058	1.08267	1.07822	1.08208	24567	0	0
2023.05.19	20:00:00	1.08209	1.08288	1.07977	1.08048	7718	0	0
2023.05.22	00:00:00	1.08045	1.08249	1.08045	1.08235	3811	0	0
2023.05.22	04:00:00	1.08236	1.08299	1.08178	1.08186	7368	0	0
2023.05.22	08:00:00	1.08186	1.08242	1.07956	1.08104	14144	0	0
2023.05.22	12:00:00	1.08103	1.08314	1.08083	1.08193	13198	0	0
2023.05.22	16:00:00	1.08193	1.08244	1.07962	1.08099	18004	0	0
2023.05.22	20:00:00	1.08099	1.08217	1.08082	1.08131	7309	0	0
2023.05.23	00:00:00	1.08110	1.08205	1.08061	1.08116	4378	0	0
2023.05.23	04:00:00	1.08116	1.08119	1.08027	1.08104	6319	0	0
2023.05.23	08:00:00	1.08104	1.08130	1.07849	1.08033	15401	0	0
2023.05.23	12:00:00	1.08033	1.08038	1.07632	1.07638	14321	0	0
2023.05.23	16:00:00	1.07640	1.07956	1.07602	1.07669	21383	0	0
2023.05.23	20:00:00	1.07669	1.07809	1.07642	1.07709	6844	0	0
2023.05.24	00:00:00	1.07693	1.07751	1.07637	1.07725	5371	0	0
2023.05.24	04:00:00	1.07725	1.07824	1.07677	1.07801	6421	0	0
2023.05.24	08:00:00	1.07801	1.07949	1.07703	1.07777	16692	0	0
2023.05.24	12:00:00	1.07777	1.08014	1.07482	1.07895	16623	0	0
2023.05.24	16:00:00	1.07895	1.07941	1.07496	1.07560	20815	0	0
2023.05.24	20:00:00	1.07561	1.07659	1.07493	1.07505	10807	0	0
2023.05.25	00:00:00	1.07486	1.07566	1.07422	1.07505	4359	0	0
2023.05.25	04:00:00	1.07503	1.07535	1.07330	1.07343	5939	0	0
2023.05.25	08:00:00	1.07343	1.07440	1.07141	1.07230	14489	0	0
2023.05.25	12:00:00	1.07229	1.07404	1.07148	1.07184	16889	0	0
2023.05.25	16:00:00	1.07183	1.07325	1.07074	1.07126	21129	0	0
2023.05.25	20:00:00	1.07126	1.07294	1.07115	1.07251	8448	0	0
2023.05.26	00:00:00	1.07242	1.07276	1.07190	1.07254	3861	0	0
2023.05.26	04:00:00	1.07253	1.07409	1.07243	1.07399	5542	0	0
2023.05.26	08:00:00	1.07399	1.07445	1.07254	1.07317	13130	0	0
2023.05.26	12:00:00	1.07315	1.07587	1.07257	1.07420	15293	0	0
2023.05.26	16:00:00	1.07420	1.07506	1.07018	1.07196	21963	0	0
2023.05.26	20:00:00	1.07196	1.07329	1.07187	1.07258	6190	0	0
2023.05.29	00:00:00	1.07178	1.07286	1.07159	1.07198	3391	0	0
2023.05.29	04:00:00	1.07198	1.07364	1.07184	1.07362	4268	0	0
2023.05.29	08:00:00	1.07362	1.07436	1.07154	1.07241	7210	0	0
2023.05.29	12:00:00	1.07239	1.07239	1.07099	1.07149	6281	0	0
2023.05.29	16:00:00	1.07149	1.07158	1.07061	1.07128	4375	0	0
2023.05.29	20:00:00	1.07129	1.07151	1.07055	1.07093	1287	0	0
2023.05.30	00:00:00	1.07082	1.07198	1.07042	1.07137	4450	0	0
2023.05.30	04:00:00	1.07138	1.07264	1.07012	1.07082	6827	0	0
2023.05.30	08:00:00	1.07081	1.07084	1.06726	1.07047	17322	0	0
2023.05.30	12:00:00	1.07047	1.07467	1.06971	1.07224	17548	0	0
2023.05.30	16:00:00	1.07224	1.07409	1.07163	1.07209	18601	0	0
2023.05.30	20:00:00	1.07208	1.07347	1.07143	1.07346	7371	0	0
2023.05.31	00:00:00	1.07330	1.07356	1.07238	1.07351	3527	0	0
2023.05.31	04:00:00	1.07351	1.07355	1.06943	1.06982	7304	0	0
2023.05.31	08:00:00	1.06982	1.06990	1.06587	1.06598	16912	0	0
2023.05.31	12:00:00	1.06596	1.06875	1.06596	1.06808	12250	0	0
2023.05.31	16:00:00	1.06808	1.07053	1.06353	1.06380	25895	0	0
2023.05.31	20:00:00	1.06380	1.06921	1.06355	1.06885	11186	0	0
2023.06.01	00:00:00	1.06872	1.06974	1.06801	1.06865	4490	0	0
2023.06.01	04:00:00	1.06865	1.06939	1.06801	1.06818	7841	0	0
2023.06.01	08:00:00	1.06815	1.06869	1.06619	1.06866	12574	0	0
2023.06.01	12:00:00	1.06872	1.07156	1.06829	1.07082	15292	0	0
2023.06.01	16:00:00	1.07081	1.07641	1.07030	1.07599	19875	0	0
2023.06.01	20:00:00	1.07601	1.07686	1.07558	1.07615	6253	0	0
2023.06.02	00:00:00	1.07617	1.07654	1.07550	1.07618	3318	0	0
2023.06.02	04:00:00	1.07618	1.07691	1.07586	1.07631	5175	0	0
2023.06.02	08:00:00	1.07632	1.07791	1.07601	1.07743	9710	0	0
2023.06.02	12:00:00	1.07742	1.07770	1.07346	1.07474	15599	0	0
2023.06.02	16:00:00	1.07474	1.07711	1.07088	1.07101	19549	0	0
2023.06.02	20:00:00	1.07101	1.07158	1.07052	1.07060	5790	0	0
2023.06.05	00:00:00	1.07071	1.07091	1.06903	1.06937	6033	0	0
2023.06.05	04:00:00	1.06937	1.07046	1.06908	1.06999	9255	0	0
2023.06.05	08:00:00	1.06999	1.07039	1.06834	1.06961	16074	0	0
2023.06.05	12:00:00	1.06961	1.06991	1.06747	1.06789	8187	0	0
2023.06.05	16:00:00	1.06787	1.07225	1.06779	1.07115	17199	0	0
2023.06.05	20:00:00	1.07116	1.07175	1.07075	1.07125	5177	0	0
2023.06.06	00:00:00	1.07109	1.07169	1.07073	1.07160	3209	0	0
2023.06.06	04:00:00	1.07160	1.07248	1.07129	1.07234	5269	0	0
2023.06.06	08:00:00	1.07234	1.07329	1.06951	1.06993	14430	0	0
2023.06.06	12:00:00	1.06994	1.07011	1.06671	1.06707	10849	0	0
2023.06.06	16:00:00	1.06707	1.06979	1.06692	1.06884	12575	0	0
2023.06.06	20:00:00	1.06884	1.06963	1.06823	1.06923	4483	0	0
2023.06.07	00:00:00	1.06915	1.07044	1.06912	1.07004	2755	0	0
2023.06.07	04:00:00	1.07004	1.07014	1.06887	1.06905	5488	0	0
2023.06.07	08:00:00	1.06906	1.06934	1.06683	1.06931	9912	0	0
2023.06.07	12:00:00	1.06933	1.07231	1.06902	1.07161	10443	0	0
2023.06.07	16:00:00	1.07159	1.07398	1.06929	1.06933	18311	0	0
2023.06.07	20:00:00	1.06933	1.07054	1.06911	1.06982	6476	0	0
2023.06.08	00:00:00	1.06975	1.07100	1.06913	1.07085	3624	0	0
2023.06.08	04:00:00	1.07086	1.07137	1.07027	1.07116	5205	0	0
2023.06.08	08:00:00	1.07116	1.07300	1.07010	1.07268	9993	0	0
2023.06.08	12:00:00	1.07268	1.07591	1.07209	1.07469	13004	0	0
2023.06.08	16:00:00	1.07468	1.07871	1.07419	1.07848	16154	0	0
2023.06.08	20:00:00	1.07846	1.07857	1.07737	1.07814	5307	0	0
2023.06.09	00:00:00	1.07823	1.07851	1.07779	1.07820	3335	0	0
2023.06.09	04:00:00	1.07820	1.07851	1.07747	1.07754	5118	0	0
2023.06.09	08:00:00	1.07755	1.07841	1.07593	1.07634	9474	0	0
2023.06.09	12:00:00	1.07633	1.07842	1.07566	1.07671	11456	0	0
2023.06.09	16:00:00	1.07672	1.07753	1.07435	1.07483	14662	0	0
2023.06.09	20:00:00	1.07482	1.07523	1.07430	1.07495	4294	0	0
2023.06.12	00:00:00	1.07448	1.07515	1.07431	1.07453	3769	0	0
2023.06.12	04:00:00	1.07452	1.07459	1.07330	1.07410	7643	0	0
2023.06.12	08:00:00	1.07409	1.07840	1.07405	1.07771	11853	0	0
2023.06.12	12:00:00	1.07771	1.07902	1.07606	1.07662	11334	0	0
2023.06.12	16:00:00	1.07662	1.07716	1.07431	1.07487	13716	0	0
2023.06.12	20:00:00	1.07487	1.07634	1.07451	1.07579	5035	0	0
2023.06.13	00:00:00	1.07567	1.07669	1.07509	1.07605	3248	0	0
2023.06.13	04:00:00	1.07605	1.07830	1.07592	1.07822	5256	0	0
2023.06.13	08:00:00	1.07822	1.08083	1.07815	1.08073	13072	0	0
2023.06.13	12:00:00	1.08074	1.08236	1.07841	1.08143	15870	0	0
2023.06.13	16:00:00	1.08142	1.08182	1.07780	1.08024	20095	0	0
2023.06.13	20:00:00	1.08024	1.08044	1.07829	1.07925	6375	0	0
2023.06.14	00:00:00	1.07923	1.07931	1.07858	1.07901	3462	0	0
2023.06.14	04:00:00	1.07901	1.07961	1.07848	1.07897	4237	0	0
2023.06.14	08:00:00	1.07897	1.08048	1.07740	1.08021	9003	0	0
2023.06.14	12:00:00	1.08021	1.08334	1.07965	1.08312	10789	0	0
2023.06.14	16:00:00	1.08312	1.08640	1.08274	1.08624	11476	0	0
2023.06.14	20:00:00	1.08623	1.08629	1.08012	1.08308	23340	0	0
2023.06.15	00:00:00	1.08303	1.08444	1.08214	1.08381	3137	0	0
2023.06.15	04:00:00	1.08381	1.08381	1.08082	1.08116	7319	0	0
2023.06.15	08:00:00	1.08115	1.08374	1.08039	1.08329	11469	0	0
2023.06.15	12:00:00	1.08329	1.08811	1.08146	1.08640	15969	0	0
2023.06.15	16:00:00	1.08631	1.09452	1.08584	1.09438	17845	0	0
2023.06.15	20:00:00	1.09438	1.09528	1.09396	1.09454	5665	0	0
2023.06.16	00:00:00	1.09425	1.09510	1.09398	1.09419	4322	0	0
2023.06.16	04:00:00	1.09420	1.09484	1.09355	1.09389	6755	0	0
2023.06.16	08:00:00	1.09389	1.09625	1.09339	1.09505	12227	0	0
2023.06.16	12:00:00	1.09505	1.09706	1.09398	1.09510	10571	0	0
2023.06.16	16:00:00	1.09510	1.09671	1.09176	1.09339	18795	0	0
2023.06.16	20:00:00	1.09339	1.09455	1.09321	1.09406	5968	0	0
2023.06.19	00:00:00	1.09273	1.09463	1.09273	1.09368	4032	0	0
2023.06.19	04:00:00	1.09368	1.09407	1.09323	1.09348	5792	0	0
2023.06.19	08:00:00	1.09348	1.09414	1.09252	1.09295	10891	0	0
2023.06.19	12:00:00	1.09296	1.09297	1.09073	1.09260	9061	0	0
2023.06.19	16:00:00	1.09261	1.09289	1.09122	1.09161	8086	0	0
2023.06.19	20:00:00	1.09161	1.09227	1.09157	1.09225	1632	0	0
2023.06.20	00:00:00	1.09197	1.09264	1.09163	1.09203	3668	0	0
2023.06.20	04:00:00	1.09203	1.09237	1.09105	1.09139	7321	0	0
2023.06.20	08:00:00	1.09137	1.09463	1.09118	1.09380	14270	0	0
2023.06.20	12:00:00	1.09380	1.09401	1.09120	1.09195	12844	0	0
2023.06.20	16:00:00	1.09192	1.09246	1.08918	1.09150	18285	0	0
2023.06.20	20:00:00	1.09150	1.09183	1.09098	1.09178	5380	0	0
2023.06.21	00:00:00	1.09176	1.09223	1.09121	1.09161	3963	0	0
2023.06.21	04:00:00	1.09160	1.09212	1.09117	1.09162	5868	0	0
2023.06.21	08:00:00	1.09162	1.09338	1.09056	1.09250	14376	0	0
2023.06.21	12:00:00	1.09250	1.09299	1.09082	1.09253	13233	0	0
2023.06.21	16:00:00	1.09250	1.09737	1.09105	1.09707	19823	0	0
2023.06.21	20:00:00	1.09706	1.09908	1.09672	1.09856	7638	0	0
2023.06.22	00:00:00	1.09856	1.09924	1.09815	1.09886	4509	0	0
2023.06.22	04:00:00	1.09885	1.09951	1.09867	1.09872	4252	0	0
2023.06.22	08:00:00	1.09874	1.10038	1.09797	1.09930	10856	0	0
2023.06.22	12:00:00	1.09929	1.10122	1.09801	1.09825	15099	0	0
2023.06.22	16:00:00	1.09824	1.09892	1.09486	1.09546	18154	0	0
2023.06.22	20:00:00	1.09547	1.09617	1.09501	1.09551	6933	0	0
2023.06.23	00:00:00	1.09551	1.09586	1.09526	1.09552	3863	0	0
2023.06.23	04:00:00	1.09552	1.09562	1.09290	1.09331	7000	0	0
2023.06.23	08:00:00	1.09331	1.09341	1.08487	1.08492	18950	0	0
2023.06.23	12:00:00	1.08492	1.08957	1.08444	1.08873	13036	0	0
2023.06.23	16:00:00	1.08873	1.09029	1.08790	1.08858	17412	0	0
2023.06.23	20:00:00	1.08860	1.08963	1.08860	1.08898	7113	0	0
2023.06.26	00:00:00	1.09047	1.09094	1.08932	1.09053	5428	0	0
2023.06.26	04:00:00	1.09053	1.09098	1.09000	1.09025	6223	0	0
2023.06.26	08:00:00	1.09025	1.09111	1.08873	1.08921	12928	0	0
2023.06.26	12:00:00	1.08919	1.09202	1.08908	1.09175	11846	0	0
2023.06.26	16:00:00	1.09175	1.09201	1.09000	1.09087	16255	0	0
2023.06.26	20:00:00	1.09088	1.09154	1.09041	1.09053	6002	0	0
2023.06.27	00:00:00	1.09052	1.09119	1.09018	1.09044	3779	0	0
2023.06.27	04:00:00	1.09044	1.09351	1.09037	1.09233	9085	0	0
2023.06.27	08:00:00	1.09233	1.09439	1.09162	1.09395	14668	0	0
2023.06.27	12:00:00	1.09396	1.09722	1.09262	1.09653	16488	0	0
2023.06.27	16:00:00	1.09653	1.09769	1.09424	1.09589	23379	0	0
2023.06.27	20:00:00	1.09589	1.09640	1.09551	1.09599	7421	0	0
2023.06.28	00:00:00	1.09603	1.09626	1.09527	1.09546	5198	0	0
2023.06.28	04:00:00	1.09546	1.09562	1.09421	1.09487	8303	0	0
2023.06.28	08:00:00	1.09487	1.09608	1.09361	1.09529	10049	0	0
2023.06.28	12:00:00	1.09529	1.09623	1.09260	1.09278	15807	0	0
2023.06.28	16:00:00	1.09278	1.09446	1.08968	1.09109	28663	0	0
2023.06.28	20:00:00	1.09109	1.09240	1.09099	1.09124	6305	0	0
2023.06.29	00:00:00	1.09123	1.09187	1.09012	1.09070	3926	0	0
2023.06.29	04:00:00	1.09070	1.09144	1.08807	1.08855	9433	0	0
2023.06.29	08:00:00	1.08856	1.09219	1.08842	1.09143	18410	0	0
2023.06.29	12:00:00	1.09146	1.09415	1.08732	1.08811	19464	0	0
2023.06.29	16:00:00	1.08812	1.08968	1.08602	1.08707	26742	0	0
2023.06.29	20:00:00	1.08707	1.08752	1.08622	1.08631	8214	0	0
2023.06.30	00:00:00	1.08632	1.08740	1.08608	1.08721	4148	0	0
2023.06.30	04:00:00	1.08722	1.08755	1.08603	1.08698	7156	0	0
2023.06.30	08:00:00	1.08699	1.08756	1.08354	1.08386	12654	0	0
2023.06.30	12:00:00	1.08386	1.08977	1.08357	1.08971	14215	0	0
2023.06.30	16:00:00	1.08971	1.09319	1.08962	1.09184	25759	0	0
2023.06.30	20:00:00	1.09184	1.09229	1.09076	1.09092	7201	0	0
2023.07.03	00:00:00	1.09090	1.09130	1.09004	1.09013	3073	0	0
2023.07.03	04:00:00	1.09013	1.09182	1.09009	1.09177	4323	0	0
2023.07.03	08:00:00	1.09177	1.09182	1.08702	1.08864	11671	0	0
2023.07.03	12:00:00	1.08864	1.09103	1.08762	1.09089	11620	0	0
2023.07.03	16:00:00	1.09090	1.09340	1.09017	1.09157	20336	0	0
2023.07.03	20:00:00	1.09160	1.09164	1.09085	1.09103	3110	0	0
2023.07.04	00:00:00	1.09102	1.09152	1.09083	1.09096	1882	0	0
2023.07.04	04:00:00	1.09096	1.09163	1.09006	1.09007	3417	0	0
2023.07.04	08:00:00	1.09008	1.09148	1.08921	1.08956	8583	0	0
2023.07.04	12:00:00	1.08956	1.09039	1.08897	1.09007	7897	0	0
2023.07.04	16:00:00	1.09006	1.09075	1.08920	1.08945	7671	0	0
2023.07.04	20:00:00	1.08946	1.08973	1.08767	1.08784	2178	0	0
2023.07.05	00:00:00	1.08790	1.08905	1.08750	1.08868	2700	0	0
2023.07.05	04:00:00	1.08867	1.08871	1.08749	1.08759	3406	0	0
2023.07.05	08:00:00	1.08759	1.09079	1.08664	1.08881	14545	0	0
2023.07.05	12:00:00	1.08880	1.09021	1.08755	1.08943	12836	0	0
2023.07.05	16:00:00	1.08943	1.09014	1.08592	1.08609	15749	0	0
2023.07.05	20:00:00	1.08609	1.08654	1.08510	1.08534	5264	0	0
