State,Action,Q_Value
[[-0.95693934 -0.60665196  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.65914617  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.62930736  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.61825595  0.99667651]],0,0.0
[[-0.95693934 -0.61825595  0.99667651]],1,0.0
[[-0.95693934 -0.61825595  0.99667651]],2,0.0
[[-0.95693934 -0.62267651  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.60112626  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.69561582  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.56741946  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.55415776  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.55139491  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.56797203  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.45690535  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.05076599  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.41118298  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.44102179  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.40565728  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.41007784  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.29624831  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.33382311  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.30674715  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.26364665  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.25038495  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.21833586  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.2907226   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.45649377  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.33879624  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.29238031  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.3001163   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.30177401  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.30066887  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.40123671  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.50677769  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.6322112   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.60624039  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.66426029  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.76317042  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.7073608   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.7692487   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.78030011  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.849924    0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.87092168  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.80240293  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.80903378  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.67641684  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.6172918   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.63552662  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.60181982  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.57474386  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.53882678  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.44323207  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.49627885  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.53219593  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.61839694  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.6885734   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.56977073  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.59353126  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.57142844  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.57087587  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.62558035  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.57640158  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.68194255  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.78527324  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.76151271  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.81898005  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.83389945  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.82837375  0.99667651]],0,0.0
[[-0.95693934  0.82837375  0.99667651]],1,0.0
[[-0.95693934  0.82837375  0.99667651]],2,0.0
[[-0.95693934  0.8029555   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.7504613   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.85655484  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.87976281  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.84384572  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.85765998  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.95988554  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.04111341  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.07095222  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.14610181  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.12455156  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.97204209  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
